commit_hash,commit_message,fix,classification,contains_bug,ns,nd,nf,entrophy,la,ld,lt,ndev,age,nuc,exp,rexp,sexp,glm_probability,name,commit_words,bayesian_score,spam_ham,jacob
7ab658a07659bd1198659f92218367fee31c1c00,Revert to Tweetanium colors and layout,False,None,f,1,3,14,0.965912371293044,74,232,33,3,2.05870287698413,14,191.5,1.06294744731019,94,0,status-net-mirror,4,0.600568620372,ham,False
349c895f8b7fc4bb19ad9e85eeef0ec63a694b46,EA-50983,False,None,f,1,1,2,0.845350936622437,8,3,963.5,21,4.90938657407407,87,3711.5,1.12254196466405,3526,0,intellij-plugins,2,0.5,ham,True
795337f573479a353bf732287ce784672ffa7fd9,[MRM-358] Update Consumers button in Database - Artifact Scanning doesn't work. Patch from Napolean Ramirez applied.git-svn-id: https://svn.apache.org/repos/asf/maven/archiva/trunk@548821 13f79535-47bb-0310-9956-ffa450edef68n,False,None,f,1,3,3,0.491552576450421,74,11,243.333333333333,11,15.004787808642,23,5284,1.02362334882197,540,0,archiva,32,0.386823111969,ham,False
472d094991154102093bd81b067f29eae794cdf1,Revert Triage client/dom test failures on FireFoxThis reverts commit 6f6d937faf0becfbe698fd0b1c824f3331cb86b5.nnBUG=nTEST=nnReview URL: https://chromiumcodereview.appspot.com//10007033nngit-svn-id: https://dart.googlecode.com/svn/branches/bleeding_edge/dart@6262 260f80e4-7a28-3924-810f-c04153c831b5n,True,Corrective,f,1,1,1,0,1,33,105,60,0.00725694444444444,129,6441,138.799043062201,6149,0,Dart,35,0.000300580931492,ham,False
e0333cf7e411e511fbf6ac1f58665dfbcfa409d0,Move singleton debug code into diagnostic. Add docs,True,Corrective,t,3,5,5,1.8595526491472,29,14,616.4,18,25.1000138888889,387,14309,1.8655366423012,5222,0,JacORB,7,0.737152859886,ham,False
6de4b3712c5a343b2e911e05149037271973cac6,updated log4jgit-svn-id: http://svn.aei.mpg.de/eScience/GridSphere/trunk@390 9c99c85f-4d0c-0410-8460-a9a1c48a3a7fn,False,None,f,1,1,2,0,48,0,0,1,0,0,791.5,0,19,0,GridSphere,17,0.755641683752,ham,False
587d2f8f794738831bddf23df682e1466a7b3435,"Removed STENCIL_INDEX_EXT (spec rev. #114, June 16, 2005) Removed FRAMEBUFFER_INCOMPLETE_DUPLICATE_ATTACHMENT_EXT (spec rev. #117, September 26, 2005)",False,None,f,1,2,2,1,0,4,200,11,132.286284722222,6,563.5,1.00854547520438,563,0,lwjgl,16,0.0358428359383,ham,False
5c75a9dbe0c2b6a81f885131e2a1499601fd6d8e,"[GF#29301] Support the search and display of mapping data. [KLO, 030811]git-svn-id: https://ncisvn.nci.nih.gov/svn/ncit/trunk@2046 0604bb77-1110-461e-859e-28c50bf9b280n",False,None,f,1,3,4,1.75812419167298,18,9,1298.5,3,1.85252314814815,208,4339.5,3.75325807528198,4341,0,nci-term-browser,26,0.0305570256258,ham,False
4980c3d1716398e168fa13ae8521804fe5c2545d,--Empty Message--,False,None,f,1,1,1,0,0,2,156,1,5.78703703703704e-05,41,4753,17281,4322,0,icpc,2,0.1043363576,ham,True
4980c3d1716398e168fa13ae8521804fe5c2545d,--Empty Message--,False,None,f,1,1,1,0,0,2,156,1,5.78703703703704e-05,41,4753,17281,4322,0,icpc,2,0.1043363576,ham,True
